slot,arm,luna_side,terminal_cause,luna_outcome,player_turns,requests,luna_turns,tokens,backend_seconds,core_damage,heuristic_core_damage
MATCH-001,strict,red,CORE_DESTRUCTION,loss,11,8,5,22622,18.683324000099674,0,30
MATCH-001,bounded,red,TEAM_ELIMINATION,loss,18,16,9,43667,30.392090899986215,0,15
MATCH-001,stepwise,red,REQUEST_LIMIT,limit,94,140,47,340457,222.09179239999503,0,18
MATCH-002,bounded,blue,PROVIDER_FORFEIT,loss,3,4,2,12719,7.674444300006144,0,0
MATCH-002,stepwise,blue,CORE_DESTRUCTION,loss,10,13,5,35410,24.05013989994768,0,30
MATCH-002,strict,blue,TEAM_ELIMINATION,loss,21,12,11,32642,23.41433589992812,0,0
MATCH-003,stepwise,red,CORE_DESTRUCTION,loss,11,16,5,42586,27.80704139987938,0,30
MATCH-003,strict,red,TEAM_ELIMINATION,loss,9,6,4,17680,16.093771099927835,0,0
MATCH-003,bounded,red,TEAM_ELIMINATION,loss,10,7,5,18275,13.981041999999434,0,0
MATCH-004,strict,blue,TEAM_ELIMINATION,loss,12,8,6,23101,17.15791030001128,0,15
MATCH-004,bounded,blue,TEAM_ELIMINATION,loss,8,12,4,33827,22.532271599920932,0,0
MATCH-004,stepwise,blue,CORE_DESTRUCTION,win,7,15,4,45257,25.962095299968496,30,0
MATCH-005,bounded,red,TEAM_ELIMINATION,loss,12,10,6,27611,17.775207500031684,0,15
MATCH-005,stepwise,red,CORE_DESTRUCTION,loss,11,16,5,41339,26.830182900012005,0,30
MATCH-005,strict,red,CORE_DESTRUCTION,loss,7,4,3,11756,8.150054900033865,0,30
MATCH-006,stepwise,blue,CORE_DESTRUCTION,loss,10,15,5,39424,27.998761900002137,0,30
MATCH-006,strict,blue,TEAM_ELIMINATION,loss,33,26,17,66117,43.94493019999936,0,0
MATCH-006,bounded,blue,TEAM_ELIMINATION,loss,10,13,5,38087,24.659106799925212,0,0
MATCH-007,strict,red,TEAM_ELIMINATION,loss,7,4,3,10688,7.576715100032743,0,10
MATCH-007,bounded,red,CORE_DESTRUCTION,loss,9,9,4,25560,17.47754619998159,0,30
MATCH-007,stepwise,red,TEAM_ELIMINATION,loss,8,12,4,28899,19.678792299993802,0,5
MATCH-008,bounded,blue,TEAM_ELIMINATION,loss,10,9,5,26802,16.204651100037154,0,0
MATCH-008,stepwise,blue,CORE_DESTRUCTION,loss,12,21,6,57123,35.20884180010762,0,30
MATCH-008,strict,blue,CORE_DESTRUCTION,loss,10,7,5,20314,14.718957599950954,0,30
MATCH-009,stepwise,red,REQUEST_LIMIT,limit,94,140,47,351155,226.4394503000076,0,18
MATCH-009,strict,red,CORE_DESTRUCTION,loss,9,6,4,17988,12.22403470001882,0,30
MATCH-009,bounded,red,TEAM_ELIMINATION,loss,11,7,5,18610,12.727255299978424,0,15
MATCH-010,strict,blue,PROVIDER_FORFEIT,loss,5,4,3,12256,8.862004299997352,0,0
MATCH-010,bounded,blue,TEAM_ELIMINATION,loss,10,8,5,23189,13.648766600003,0,5
MATCH-010,stepwise,blue,CORE_DESTRUCTION,loss,10,15,5,39802,24.752231499936897,0,30
