slot,arm,luna_side,terminal_cause,luna_outcome,player_turns,requests,luna_turns,tokens,backend_seconds,core_damage,heuristic_core_damage
MATCH-011,bounded,red,TEAM_ELIMINATION,loss,10,7,5,18545,16.604633599927183,0,5
MATCH-011,stepwise,red,TEAM_ELIMINATION,loss,15,24,7,59249,51.946647600096185,0,0
MATCH-011,strict,red,TEAM_ELIMINATION,loss,38,19,19,44795,30.951870899938513,0,20
MATCH-012,stepwise,blue,CORE_DESTRUCTION,loss,10,12,5,32096,20.483828900032677,0,30
MATCH-012,strict,blue,TEAM_ELIMINATION,loss,12,7,6,20320,13.13722079998115,0,15
MATCH-012,bounded,blue,CORE_DESTRUCTION,loss,14,15,7,42404,25.389754700125195,0,30
MATCH-013,strict,red,TEAM_ELIMINATION,loss,9,7,4,20645,14.04055930004688,0,25
MATCH-013,bounded,red,TEAM_ELIMINATION,loss,10,6,5,15125,9.908717399986926,0,0
MATCH-013,stepwise,red,TEAM_ELIMINATION,loss,15,24,7,56883,41.2123512000544,0,18
MATCH-014,bounded,blue,PROVIDER_FORFEIT,loss,5,4,3,12281,8.155534399964381,0,0
MATCH-014,stepwise,blue,CORE_DESTRUCTION,loss,10,15,5,39801,25.15677100000903,0,30
MATCH-014,strict,blue,TEAM_ELIMINATION,loss,12,8,6,23710,14.028656300099101,0,5
MATCH-015,stepwise,red,REQUEST_LIMIT,limit,92,140,46,363431,227.45449510030448,0,18
MATCH-015,strict,red,TEAM_ELIMINATION,loss,10,5,5,12432,8.459749199973885,0,5
MATCH-015,bounded,red,TEAM_ELIMINATION,loss,10,8,5,21379,13.304002599907108,0,5
MATCH-016,strict,blue,CORE_DESTRUCTION,loss,10,6,5,17240,16.573969800025225,0,30
MATCH-016,bounded,blue,TEAM_ELIMINATION,loss,10,9,5,23872,16.2487510999199,0,0
MATCH-016,stepwise,blue,PROVIDER_FORFEIT,loss,1,2,1,6409,3.6037839999771677,0,0
MATCH-017,bounded,red,CORE_DESTRUCTION,loss,11,10,5,26291,17.908653199963737,0,30
MATCH-017,stepwise,red,TEAM_ELIMINATION,win,18,36,9,81668,69.16120839997893,0,18
MATCH-017,strict,red,TEAM_ELIMINATION,loss,7,3,3,7670,6.016324300027918,0,5
MATCH-018,stepwise,blue,TEAM_ELIMINATION,loss,10,16,5,42708,30.453356500016525,0,18
MATCH-018,strict,blue,PROVIDER_FORFEIT,loss,3,4,2,13245,7.195729899976868,0,0
MATCH-018,bounded,blue,PROVIDER_FORFEIT,loss,5,6,3,18421,9.61208810005337,0,0
MATCH-019,strict,red,PROVIDER_FORFEIT,loss,2,2,1,6218,3.6795088999788277,0,0
MATCH-019,bounded,red,TEAM_ELIMINATION,loss,7,3,3,7843,7.573527300031856,0,0
MATCH-019,stepwise,red,CORE_DESTRUCTION,loss,11,18,5,47699,31.055159499985166,0,30
MATCH-020,bounded,blue,PROVIDER_FORFEIT,loss,5,6,3,18431,12.869030700065196,0,0
MATCH-020,stepwise,blue,TEAM_ELIMINATION,loss,13,22,7,59722,38.61014020012226,0,18
MATCH-020,strict,blue,PROVIDER_FORFEIT,loss,3,3,2,9696,5.161618899961468,0,0
