slot,arm,luna_side,terminal_cause,luna_outcome,player_turns,requests,luna_turns,tokens,backend_seconds,core_damage,heuristic_core_damage
MATCH-001,strict,red,TEAM_ELIMINATION,loss,7,3,3,45,0.26303770003141835,0,0
MATCH-001,bounded,red,TEAM_ELIMINATION,loss,7,3,3,45,0.3053274999256246,0,0
MATCH-001,stepwise,red,CORE_DESTRUCTION,loss,9,14,4,210,1.2668902999721467,0,30
MATCH-002,bounded,blue,CORE_DESTRUCTION,loss,6,3,3,45,0.3176322999643162,0,30
MATCH-002,stepwise,blue,CORE_DESTRUCTION,loss,6,11,3,165,1.015905800042674,0,30
MATCH-002,strict,blue,CORE_DESTRUCTION,loss,6,3,3,45,0.31090989999938756,0,30
MATCH-003,stepwise,red,CORE_DESTRUCTION,loss,9,14,4,210,1.327279399964027,0,30
MATCH-003,strict,red,TEAM_ELIMINATION,loss,7,3,3,45,0.28376769996248186,0,0
MATCH-003,bounded,red,TEAM_ELIMINATION,loss,7,3,3,45,0.29107029997976497,0,0
MATCH-004,strict,blue,CORE_DESTRUCTION,loss,6,3,3,45,0.3845990999834612,0,30
MATCH-004,bounded,blue,CORE_DESTRUCTION,loss,6,3,3,45,0.3206651000655256,0,30
MATCH-004,stepwise,blue,CORE_DESTRUCTION,loss,6,11,3,165,1.0833705000113696,0,30
MATCH-005,bounded,red,TEAM_ELIMINATION,loss,7,3,3,45,0.2868109000264667,0,0
MATCH-005,stepwise,red,CORE_DESTRUCTION,loss,9,14,4,210,1.3296788000152446,0,30
MATCH-005,strict,red,TEAM_ELIMINATION,loss,7,3,3,45,0.29025080002611503,0,0
MATCH-006,stepwise,blue,CORE_DESTRUCTION,loss,6,11,3,165,1.0110577999730594,0,30
MATCH-006,strict,blue,CORE_DESTRUCTION,loss,6,3,3,45,0.30696469999384135,0,30
MATCH-006,bounded,blue,CORE_DESTRUCTION,loss,6,3,3,45,0.31076730001950637,0,30
MATCH-007,strict,red,TEAM_ELIMINATION,loss,7,3,3,45,0.27040450007189065,0,0
MATCH-007,bounded,red,TEAM_ELIMINATION,loss,7,3,3,45,0.2848493999335915,0,0
MATCH-007,stepwise,red,CORE_DESTRUCTION,loss,9,14,4,210,1.3472817000583746,0,30
MATCH-008,bounded,blue,CORE_DESTRUCTION,loss,6,3,3,45,0.3242192000034265,0,30
MATCH-008,stepwise,blue,CORE_DESTRUCTION,loss,6,11,3,165,0.9876075999927707,0,30
MATCH-008,strict,blue,CORE_DESTRUCTION,loss,6,3,3,45,0.32981370005290955,0,30
MATCH-009,stepwise,red,CORE_DESTRUCTION,loss,9,14,4,210,1.25287099997513,0,30
MATCH-009,strict,red,TEAM_ELIMINATION,loss,7,3,3,45,0.26266289997147396,0,0
MATCH-009,bounded,red,TEAM_ELIMINATION,loss,7,3,3,45,0.2938791999476962,0,0
MATCH-010,strict,blue,CORE_DESTRUCTION,loss,6,3,3,45,0.3084981000283733,0,30
MATCH-010,bounded,blue,CORE_DESTRUCTION,loss,6,3,3,45,0.3113117999746464,0,30
MATCH-010,stepwise,blue,CORE_DESTRUCTION,loss,6,11,3,165,0.9918533999589272,0,30
MATCH-011,bounded,red,TEAM_ELIMINATION,loss,7,3,3,45,0.29959469998721033,0,0
MATCH-011,stepwise,red,CORE_DESTRUCTION,loss,9,14,4,210,1.2760783999692649,0,30
MATCH-011,strict,red,TEAM_ELIMINATION,loss,7,3,3,45,0.2644678999786265,0,0
MATCH-012,stepwise,blue,CORE_DESTRUCTION,loss,6,11,3,165,1.0588110000244342,0,30
MATCH-012,strict,blue,CORE_DESTRUCTION,loss,6,3,3,45,0.34901219996390864,0,30
MATCH-012,bounded,blue,CORE_DESTRUCTION,loss,6,3,3,45,0.32403559994418174,0,30
MATCH-013,strict,red,TEAM_ELIMINATION,loss,7,3,3,45,0.2855473000672646,0,0
MATCH-013,bounded,red,TEAM_ELIMINATION,loss,7,3,3,45,0.2683042000280693,0,0
MATCH-013,stepwise,red,CORE_DESTRUCTION,loss,9,14,4,210,1.543589900014922,0,30
MATCH-014,bounded,blue,CORE_DESTRUCTION,loss,6,3,3,45,0.4033587999874726,0,30
MATCH-014,stepwise,blue,CORE_DESTRUCTION,loss,6,11,3,165,1.0642369000124745,0,30
MATCH-014,strict,blue,CORE_DESTRUCTION,loss,6,3,3,45,0.3225140999420546,0,30
MATCH-015,stepwise,red,CORE_DESTRUCTION,loss,9,14,4,210,1.407114100002218,0,30
MATCH-015,strict,red,TEAM_ELIMINATION,loss,7,3,3,45,0.30359849997330457,0,0
MATCH-015,bounded,red,TEAM_ELIMINATION,loss,7,3,3,45,0.28634029999375343,0,0
MATCH-016,strict,blue,CORE_DESTRUCTION,loss,6,3,3,45,0.33551200007786974,0,30
MATCH-016,bounded,blue,CORE_DESTRUCTION,loss,6,3,3,45,0.3162127999821678,0,30
MATCH-016,stepwise,blue,CORE_DESTRUCTION,loss,6,11,3,165,1.062714599946048,0,30
MATCH-017,bounded,red,TEAM_ELIMINATION,loss,7,3,3,45,0.28615189995616674,0,0
MATCH-017,stepwise,red,CORE_DESTRUCTION,loss,9,14,4,210,1.2898432000074536,0,30
MATCH-017,strict,red,TEAM_ELIMINATION,loss,7,3,3,45,0.3649881000164896,0,0
MATCH-018,stepwise,blue,CORE_DESTRUCTION,loss,6,11,3,165,1.0000352000934072,0,30
MATCH-018,strict,blue,CORE_DESTRUCTION,loss,6,3,3,45,0.344288999971468,0,30
MATCH-018,bounded,blue,CORE_DESTRUCTION,loss,6,3,3,45,0.3292049000156112,0,30
MATCH-019,strict,red,TEAM_ELIMINATION,loss,7,3,3,45,0.3057596000144258,0,0
MATCH-019,bounded,red,TEAM_ELIMINATION,loss,7,3,3,45,0.2747129999916069,0,0
MATCH-019,stepwise,red,CORE_DESTRUCTION,loss,9,14,4,210,1.250574300007429,0,30
MATCH-020,bounded,blue,CORE_DESTRUCTION,loss,6,3,3,45,0.3432594999903813,0,30
MATCH-020,stepwise,blue,CORE_DESTRUCTION,loss,6,11,3,165,0.9716978999786079,0,30
